Timezone : Asia/Tokyo,Temperature,Humidity,CO2,Noise,Pressure
2017-1-3,4.6,71,342,37,1011.2
2017-1-3,4.5,71,343,36,1011.2
2017-1-3,4.4,71,340,36,1011.1
2017-1-3,4.4,71,340,37,1011.1
2017-1-3,4.3,71,337,37,1011.2
2017-1-3,4.3,72,330,38,1011.2
2017-1-3,4.2,72,332,37,1011
2017-1-3,4.2,72,330,38,1011
2017-1-3,4.2,72,325,37,1011
2017-1-3,4.1,72,327,37,1010.9
2017-1-3,4.1,72,325,37,1010.9
2017-1-3,4,72,327,37,1010.9
2017-1-3,4,72,341,37,1010.9
2017-1-3,3.9,73,322,37,1011
2017-1-3,3.9,72,325,37,1010.9
2017-1-3,3.9,72,323,36,1011
2017-1-3,3.9,72,318,36,1011.1
2017-1-3,3.8,72,317,36,1011.1
2017-1-3,3.7,72,319,36,1011.1
2017-1-3,3.7,72,322,37,1011
2017-1-3,3.6,72,314,36,1011.1
2017-1-3,3.6,72,312,36,1011
2017-1-3,3.5,73,318,37,1011
2017-1-3,3.5,72,304,37,1011
2017-1-3,3.4,73,306,37,1011
2017-1-3,3.4,73,299,37,1011
2017-1-3,3.3,74,289,36,1011
2017-1-3,3.4,74,289,36,1011
2017-1-3,3.4,74,291,36,1010.9
2017-1-3,3.4,73,276,37,1010.9
2017-1-3,3.4,73,286,36,1011
2017-1-3,3.4,73,287,37,1011
2017-1-3,3.3,73,281,36,1011
2017-1-3,3.3,73,277,36,1010.9
2017-1-3,3.3,74,268,36,1010.9
2017-1-3,3.3,74,268,36,1010.9
2017-1-3,3.3,74,273,36,1010.8
2017-1-3,3.3,74,274,36,1010.9
2017-1-3,3.2,74,269,36,1010.9
2017-1-3,3.2,74,262,36,1010.9
2017-1-3,3.1,74,271,37,1010.8
2017-1-3,3.1,74,266,36,1010.7
2017-1-3,3,74,265,36,1010.7
2017-1-3,3,74,267,36,1010.7
2017-1-3,3,74,265,36,1010.7
2017-1-3,3,74,266,36,1010.6
2017-1-3,2.9,74,267,36,1010.7
2017-1-3,2.9,74,262,36,1010.6
2017-1-3,2.9,74,261,36,1010.6
2017-1-3,2.8,74,259,36,1010.6
2017-1-3,2.8,74,251,36,1010.5
2017-1-3,2.7,74,254,36,1010.4
2017-1-3,2.7,74,255,36,1010.5
2017-1-3,2.6,74,257,36,1010.5
2017-1-3,2.6,74,258,36,1010.5
2017-1-3,2.6,74,254,36,1010.4
2017-1-3,2.5,74,248,36,1010.5
2017-1-3,2.5,74,251,36,1010.5
2017-1-3,2.4,74,245,36,1010.7
2017-1-3,2.4,74,244,36,1010.8
2017-1-3,2.3,75,248,36,1010.9
2017-1-3,2.3,75,257,36,1010.9
2017-1-3,2.3,75,245,36,1010.9
2017-1-3,2.4,76,254,36,1011
2017-1-3,2.4,76,252,37,1010.9
2017-1-3,2.5,76,254,36,1010.9
2017-1-3,2.5,76,250,36,1010.9
2017-1-3,2.5,76,256,36,1011.1
2017-1-3,2.5,75,256,36,1011.2
2017-1-3,2.5,75,249,36,1011.2
2017-1-3,2.4,76,248,37,1011.2
2017-1-3,2.5,76,242,36,1011.3
2017-1-3,2.4,75,247,37,1011.3
2017-1-3,2.4,76,242,37,1011.3
2017-1-3,2.4,76,240,37,1011.5
2017-1-3,2.4,76,232,36,1011.7
2017-1-3,2.4,76,239,37,1011.7
2017-1-3,2.5,75,241,37,1011.8
2017-1-3,2.4,75,239,36,1011.9
2017-1-3,2.4,75,240,37,1011.9
2017-1-3,2.3,75,239,36,1012
2017-1-3,2.3,75,236,39,1012.1
2017-1-3,2.2,75,238,37,1012.2
2017-1-3,2.2,75,235,37,1012.3
2017-1-3,2.1,76,239,36,1012.3
2017-1-3,2.1,76,239,38,1012.3
2017-1-3,2.1,76,239,36,1012.4
2017-1-3,2.1,76,236,36,1012.4
2017-1-3,2.1,76,232,36,1012.5
2017-1-3,2.1,76,237,36,1012.6
2017-1-3,2.1,76,234,36,1012.7
2017-1-3,2.2,76,232,36,1012.8
2017-1-3,2.3,76,236,38,1013
2017-1-3,2.3,76,235,36,1013
2017-1-3,2.4,76,249,36,1013.2
2017-1-3,2.5,76,241,36,1013.4
2017-1-3,2.6,76,255,36,1013.4
2017-1-3,2.8,76,256,38,1013.4
2017-1-3,2.9,76,255,40,1013.5
2017-1-3,3.1,76,247,37,1013.6
2017-1-3,3.2,76,253,38,1013.5
2017-1-3,3.4,76,249,39,1013.5
2017-1-3,3.6,76,253,39,1013.6
2017-1-3,3.8,76,250,39,1013.6
2017-1-3,4,75,255,41,1013.6
2017-1-3,4.3,75,265,38,1013.6
2017-1-3,4.6,75,259,38,1013.7
2017-1-3,4.9,74,257,38,1013.6
2017-1-3,5.1,74,263,37,1013.8
2017-1-3,5.4,74,273,37,1013.8
2017-1-3,5.6,73,272,38,1013.9
2017-1-3,5.9,73,274,38,1013.9
2017-1-3,6.1,73,284,38,1013.9
2017-1-3,6.4,72,284,39,1013.8
2017-1-3,6.6,72,293,39,1013.7
2017-1-3,6.9,72,297,38,1013.6
2017-1-3,7.1,71,297,39,1013.5
2017-1-3,7.4,71,300,40,1013.4
2017-1-3,7.6,70,310,39,1013.5
2017-1-3,7.9,70,317,40,1013.5
2017-1-3,8.1,69,312,39,1013.4
2017-1-3,8.4,69,318,38,1013.3
2017-1-3,8.6,68,335,38,1013.3
2017-1-3,9,68,337,41,1013.2
2017-1-3,9.2,67,343,42,1013
2017-1-3,9.6,66,351,39,1012.9
2017-1-3,9.8,66,348,38,1013
2017-1-3,10.1,65,357,37,1012.8
2017-1-3,10.4,64,361,37,1012.9
2017-1-3,10.6,64,363,37,1012.8
2017-1-3,10.9,63,377,39,1012.6
2017-1-3,11.2,63,380,44,1012.5
2017-1-3,11.4,62,389,43,1012.5
2017-1-3,11.7,61,393,44,1012.4
2017-1-3,12,60,391,44,1012.2
2017-1-3,12.3,60,400,45,1012.2
2017-1-3,12.5,59,411,44,1012
2017-1-3,12.6,58,411,44,1012
2017-1-3,12.7,58,419,43,1011.8
2017-1-3,12.7,58,417,43,1011.8
2017-1-3,12.9,57,423,45,1011.7
2017-1-3,13.1,56,423,43,1011.6
2017-1-3,13.2,56,425,43,1011.5
2017-1-3,13.3,56,426,43,1011.5
2017-1-3,13.5,55,436,45,1011.4
2017-1-3,13.6,55,442,44,1011.4
2017-1-3,13.8,55,440,43,1011.3
2017-1-3,14,54,446,43,1011.2
2017-1-3,14.1,53,448,44,1011.1
2017-1-3,14.1,53,445,43,1011.1
2017-1-3,14.3,52,450,43,1011.1
2017-1-3,14.4,52,455,45,1010.9
2017-1-3,14.4,51,455,44,1011
2017-1-3,14.4,51,452,44,1011
2017-1-3,14.5,51,459,44,1011
2017-1-3,14.6,51,466,44,1010.9
2017-1-3,14.7,51,460,43,1011
2017-1-3,14.9,51,470,44,1011
2017-1-3,15.1,50,471,43,1010.9
2017-1-3,15.4,50,474,43,1011
2017-1-3,15.5,49,479,43,1010.9
2017-1-3,15.7,48,485,44,1011
2017-1-3,15.8,48,490,43,1011.1
2017-1-3,15.8,48,495,44,1011.1
2017-1-3,15.8,48,488,45,1011.1
2017-1-3,15.9,47,502,36,1011.1
2017-1-3,15.9,47,487,36,1011.1
2017-1-3,16.1,47,494,41,1011.1
2017-1-3,16.2,46,489,43,1011
2017-1-3,16.4,46,504,43,1010.9
2017-1-3,16.5,47,515,39,1011
2017-1-3,16.7,46,518,36,1011
2017-1-3,16.7,45,508,37,1011
2017-1-3,16.7,45,512,37,1011
2017-1-3,16.8,45,516,38,1011.1
2017-1-3,16.9,44,515,36,1011.1
2017-1-3,16.9,44,515,38,1011.1
2017-1-3,16.8,43,520,37,1011.2
2017-1-3,16.6,43,514,37,1011.4
2017-1-3,16.5,43,510,36,1011.3
2017-1-3,16.3,43,502,42,1011.3
2017-1-3,16.1,43,497,39,1011.4
2017-1-3,15.8,43,492,36,1011.5
2017-1-3,15.6,43,489,37,1011.6
2017-1-3,15.4,43,489,37,1011.7
2017-1-3,15.3,43,484,41,1011.9
2017-1-3,14.9,43,474,42,1012
2017-1-3,14.6,43,461,36,1012.2
2017-1-3,14.3,43,462,37,1012.4
